iter	Passed	Remaining
800	20043	4979
801	20073	4955
802	20099	4930
803	20123	4905
804	20147	4880
805	20172	4855
806	20195	4829
807	20221	4805
808	20244	4779
809	20268	4754
810	20306	4732
811	20341	4709
812	20371	4685
813	20403	4662
814	20432	4638
815	20457	4612
816	20481	4587
817	20506	4562
818	20530	4537
819	20553	4511
820	20582	4487
821	20608	4462
822	20632	4437
823	20657	4412
824	20682	4387
825	20705	4361
826	20728	4336
827	20752	4310
828	20775	4285
829	20800	4260
830	20832	4236
831	20857	4211
832	20880	4186
833	20904	4160
834	20928	4135
835	20952	4110
836	20977	4085
837	21001	4059
838	21023	4034
839	21047	4009
840	21076	3984
841	21101	3959
842	21126	3934
843	21148	3909
844	21173	3883
845	21197	3858
846	21221	3833
847	21247	3808
848	21271	3783
849	21296	3758
850	21322	3733
851	21346	3708
852	21369	3682
853	21393	3657
854	21423	3633
855	21455	3609
856	21479	3584
857	21504	3559
858	21527	3533
859	21554	3508
860	21578	3483
861	21602	3458
862	21630	3433
863	21654	3408
864	21678	3383
865	21702	3358
866	21726	3332
867	21750	3307
868	21773	3282
869	21800	3257
870	21825	3232
871	21850	3207
872	21874	3182
873	21898	3156
874	21922	3131
875	21946	3106
876	21971	3081
877	21996	3056
878	22019	3031
879	22045	3006
880	22069	2981
881	22095	2956
882	22119	2930
883	22146	2906
884	22170	2880
885	22194	2855
886	22217	2830
887	22243	2805
888	22267	2780
889	22298	2756
890	22324	2731
891	22349	2705
892	22372	2680
893	22396	2655
894	22419	2630
895	22442	2604
896	22466	2579
897	22490	2554
898	22513	2529
899	22535	2503
900	22562	2479
901	22586	2453
902	22611	2428
903	22633	2403
904	22661	2378
905	22685	2353
906	22708	2328
907	22732	2303
908	22755	2278
909	22779	2252
910	22809	2228
911	22833	2203
912	22855	2177
913	22880	2152
914	22904	2127
915	22927	2102
916	22950	2077
917	22975	2052
918	23001	2027
919	23031	2002
920	23056	1977
921	23081	1952
922	23105	1927
923	23130	1902
924	23154	1877
925	23183	1852
926	23208	1827
927	23231	1802
928	23254	1777
929	23279	1752
930	23303	1727
931	23328	1702
932	23350	1676
933	23373	1651
934	23398	1626
935	23422	1601
936	23446	1576
937	23470	1551
938	23495	1526
939	23527	1501
940	23557	1477
941	23582	1451
942	23607	1426
943	23632	1401
944	23656	1376
945	23679	1351
946	23706	1326
947	23729	1301
948	23754	1276
949	23782	1251
950	23807	1226
951	23831	1201
952	23857	1176
953	23881	1151
954	23907	1126
955	23932	1101
956	23959	1076
957	23984	1051
958	24008	1026
959	24034	1001
960	24056	976
961	24081	951
962	24105	926
963	24128	901
964	24151	875
965	24175	850
966	24200	825
967	24226	800
968	24251	775
969	24277	750
970	24308	726
971	24331	700
972	24356	675
973	24390	651
974	24424	626
975	24456	601
976	24491	576
977	24524	551
978	24548	526
979	24572	501
980	24596	476
981	24618	451
982	24641	426
983	24666	401
984	24690	375
985	24712	350
986	24744	325
987	24775	300
988	24803	275
989	24830	250
990	24856	225
991	24884	200
992	24911	175
993	24941	150
994	24964	125
995	24990	100
996	25017	75
997	25041	50
998	25064	25
999	25088	0
